Code,Registration number,Brand name,Strength,Presentation,Form,Agent,Manufacturer,Country,Public Price LL,Pharmacist Margin,Stratum,public price Decision 119/1 20230126,Responsible Party Name,Responsible Party Country,Exch_Dates
3740,78846/98,ADOL,500mg,24,Caplet,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,"81,974",23.08,A1,0.92,,,8/11/2026
12488,120922/1,ADOL,120mg/5ml,100ml,Syrup,Pharmanet Drugstore S.A.R.L.,Julphar (Gulf Pharmaceutical Industries),United Arab Emirates,"126,321",23.08,A1,1.41,Julphar (Gulf Pharmaceutical Industries),United Arab Emirates,8/11/2026
1709,973937/02,ADOL EXTRA,,24,Caplet,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,"122,290",23.08,A1,1.37,,,8/11/2026
4861,26/95,ADRENALINE 1 MG  I.V.,1mg/ml,100 x 1ml,Injectable solution,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,"2,239,738",23.08,B,25.03,,,8/11/2026
11025,43121/1,ADRENALINE AGUETTANT ,1mg/10ml (0.1mg/ml),10Prefilled Syringes,"Solution for injection, sulfite free",Pharmamed,Aguettant,France,"13,990,891",19.35,D,156.32,Aguettant,France,8/11/2026
2097,H0744/92,ADRENALINE RENAUDIN,1mg/ml,10x1ml,Ampoule,Minapharm Halabi,"Renaudin
",France,"444,812",23.08,A1,4.97,"Renaudin
",,8/11/2026
7809,81614/1,ADRENALINE SALF,1mg/ml,5Amp x 1ml,Injectable solution,New Europharm,SALFSpA Laboratorio Farmacologico,Italy,"220,390",23.08,A1,2.46,SALFSpA Laboratorio Farmacologico,Italy,8/11/2026
6549,167734/10,ADROMUX ,,1,"Tablet, coated",Droguerie Phenicia,Gador SA,Argentine,"821,088",23.08,A2,9.17,Gador SA,Argentine,8/11/2026
7639,186521/13,ADVAGRAF,0.5mg,100,"Capsule, hard, prolonged release",Abela Frères S.A.L.,Astellas Ireland Co Ltd,Ireland,"13,297,758",21.26,C,148.58,Hikma Pharmaceuticals,Jordan,8/11/2026
7640,186522/13,ADVAGRAF,1mg,100,"Capsule, hard, prolonged release",Abela Frères S.A.L.,Astellas Ireland Co Ltd,Ireland,"25,729,044",19.35,D,287.48,Hikma Pharmaceuticals,Jordan,8/11/2026
7641,186523/13,ADVAGRAF,3mg,100,"Capsule, hard, prolonged release",Abela Frères S.A.L.,Astellas Ireland Co Ltd,Ireland,"68,645,618",10.71,E1,766.99,Hikma Pharmaceuticals,Jordan,8/11/2026
7642,186524/13,ADVAGRAF,5mg,100,"Capsule, hard, prolonged release",Abela Frères S.A.L.,Astellas Ireland Co Ltd,Ireland,"85,485,667",2.44,E2,955.15,Hikma Pharmaceuticals,Jordan,8/11/2026
